,Ruling,Name,Quote,Description,Date
846,half-true,Greg Casar,"“Greg Casar passed paid sick leave.""",an ad,"February 8, 2022 "
847,half-true,Team PAC,"Eric Schmitt “sponsored a bill to spend $480 million of your tax dollars” on cargo hub for airlines ""owned by China's Communist Party” and ""voted to let China buy up Missouri farmland.""",an ad,"February 7, 2022 "
848,half-true,Facebook posts,Binding masks to your face with gauze and wrapping pantyhose around your face and mask are now “suggestions to make your mask more ‘effective.’”,a Facebook post,"February 4, 2022 "
849,half-true,Cavalier Johnson,"“In 2021, 65 people in Milwaukee have lost their lives due to reckless driving accidents, and more than 9,000 cars have been stolen, double the amount in 2020.”",News release,"December 21, 2021 "
850,half-true,Stacey Abrams,"“In Texas, because of the laws they passed, a 95-year-old World War II veteran is being denied the right to vote by mail because he can't produce a registration number he got back in the 1950s.”",an interview on CNN,"January 31, 2022 "
851,half-true,Carla Sands,"Joe Biden's “$4 trillion” Build Back Better bill is ""the largest expansion of welfare programs in 60 years.""",an ad,"January 19, 2022 "
852,half-true,Viral image,"“Joe Biden holds the all-time record for the most money received from Pharma while in Congress! $8,550,422.”",a Facebook post,"January 4, 2022 "
853,half-true,Alma Adams,"“From 1917 to 1994, half of the bills that were successfully filibustered in the Senate were civil rights legislation.”",a tweet,"January 11, 2022 "
854,half-true,Glenn Youngkin,Virginia’s “education standards for math and reading are now the lowest in the nation.”,a speech.,"January 17, 2022 "
855,half-true,Facebook posts,“India has nearly 1.4 billion citizens. Nearly 800 million of them live in extreme poverty — less than $1.90 per day. Yet EVERY singly (sic) Indian citizen is required to have a valid form of ID to vote in national elections.”,a post,"January 12, 2022 "
856,half-true,Bloggers,“Fully vaccinated Australians in hospital for COVID-19 surpass unvaccinated”,a blog post,"January 12, 2022 "
857,half-true,Joe Biden,"“In the 2020 election, President Trump voted from behind the desk in the White House in Florida.”",a speech on voting rights ,"January 11, 2022 "
858,half-true,Doug Wilder,"“When I became mayor of the City of Richmond in 2004, the crime rate was at its highest. When I left in 2008, it was at its lowest.”",a radio interview.,"January 3, 2022 "
859,half-true,Erica Smith,"“Corporate profit margins are at their highest point in 70 years. … They’re overcharging us for gas, medicine, and groceries, and pocketing the difference.”",a tweet,"December 30, 2021 "
860,half-true,Facebook posts,“Most Americans on minimum wage earn less than a Dickensian allegory for destitution.”,a Facebook post,"December 19, 2021 "
861,half-true,Jon Erpenbach,"The push for high-speed internet for rural areas, from the start, “was a Democratic thing.”",TV interview,"December 12, 2021 "
862,half-true,Facebook posts,"“More people, aged 18-45, died of Fentanyl overdoses in 2020 than covid, car accidents, cancer, + suicide combined.”",social media posts,"December 19, 2021 "
863,half-true,Abby Finkenauer,Chuck Grassley was “voting to slash Medicare” when voting against the debt ceiling bill.,a tweet,"December 9, 2021 "
864,half-true,Glenn Grothman,"Says Joe Biden “shut down travel from 8 countries in response to the Omicron variant, but he refuses to require a #COVID19 test for illegal immigrants crossing our Southern border.”",Twitter,"November 30, 2021 "
865,half-true,Joe Manchin,"The United States had 589 coal-fired plants 10 years ago, and “we're down to 504. … We are the only nation that has reduced our reliance (on) coal energy.""",a Senate hearing,"November 16, 2021 "
866,half-true,Rick Scott,The Build Back Better Act “includes $34.5 billion in cuts” for charity care funding to hospitals.,a press release,"December 7, 2021 "
867,half-true,Community Oncology Alliance,"""An independent analysis shows that payments for cancer care will be slashed by close to 45% causing cancer clinics to close and massively raising your healthcare costs.”",a radio ad,"November 29, 2021 "
868,half-true,Facebook posts,A chart shows China and India are leading in per capita carbon dioxide emissions.,Facebook posts,"October 28, 2021 "
869,half-true,Tate Reeves,“39 out of 42 (countries) in Europe have more restrictive abortion laws” than Mississippi.,an interview on NBC's Meet the Press,"November 28, 2021 "
870,half-true,Roger Williams,"""U.S. households are on track to spend $19 billion more on energy by 2030.""",,"October 28, 2021 "
871,half-true,Bloggers,"""Spike protein goes to nucleus and impairs DNA repair.""",a video,"November 4, 2021 "
872,half-true,Dave Loebsack,"Ashley Hinson’s and Mariannette Miller-Meeks’ no votes on the infrastructure bill are ""denying rural Iowa broadband internet.""",a tweet,"November 6, 2021 "
873,half-true,Viral image,"Timothy Simpkins, a Black teen shooter, got 1 day in jail and $75,000 bail, while Kyle Rittenhouse, a white teen, got 2 months in jail and $2 million bail. “I think it’s pretty evident ... that white privilege is a myth.”",a Facebook post,"November 15, 2021 "
874,half-true,Dan Patrick,"Over a million people apprehended at the border this year, ""meaning probably another 2 or 3 million have come in illegally.""",a TV interview,"October 18, 2021 "
875,half-true,Bryan Steil,"Says President Joe Biden “is in talks to pay illegal immigrants $450,000.”",Twitter,"October 28, 2021 "
876,half-true,Ron Klain,"The Biden administration inherited gains of “50,000 jobs a month. We're now finally back to 500,000 jobs a month. We inherited a country where 4,000 people a day were dying from Covid. That's now down 75%.”","an interview on NBC's ""Meet the Press""","November 7, 2021 "
877,half-true,Facebook posts,"""Atheists are prohibited from holding office in 8 states.”",a Facebook post,"October 31, 2021 "
878,half-true,Viral image,Photos show Manila Bay before and during Rodrigo Duterte’s administration.,a Facebook post,"October 23, 2021 "
879,half-true,Ron DeSantis,"“The nation reported adding 194,000 jobs in September, and Florida accounted for 84,500.”",a Facebook post,"October 22, 2021 "
880,half-true,Facebook posts,"“Gas prices were WAY higher in 2008, under REPUBLICAN president George W. Bush.”",a Facebook post,"October 20, 2021 "
881,half-true,Joe Biden,“We’ve created more jobs in the first eight months of my administration than any president in American history — total number of jobs created.”,a town hall ,"October 21, 2021 "
882,half-true,Glenn Youngkin,“Virginia has the lowest standards for math and reading of all 50 states.”,a newspaper column.,"September 2, 2021 "
883,half-true,YouTube videos,"COVID-19 “surges among most vaxxed communities, says Harvard study.”",a Facebook post,"October 17, 2021 "
884,half-true,Joe Biden,"People who are vaccinated for the coronavirus “cannot spread it to you.""",remarks ,"October 7, 2021 "
885,half-true,Viral image,“Roe was the end of women dying from abortions.”,a Facebook post,"October 7, 2021 "
886,half-true,TikTok posts,“Paris police beat a woman for shopping at a mall with no vaccine passport.”,a TikTok post,"September 5, 2021 "
887,half-true,Joe Biden,“Raising the debt limit is usually a bipartisan undertaking.”,a speech,"October 4, 2021 "
888,half-true,Carol Miller,"“We became a net exporter of natural gas in 2017, and until recently, our exports have exceeded our imports.”",an article ,"July 28, 2021 "
889,half-true,Bernie Sanders,"""The pharmaceutical industry has 1,400 lobbyists on Capitol Hill right now trying to stop"" Medicare drug price negotiation.","an interview on NBC's ""Meet the Press""","October 3, 2021 "
890,half-true,Glenn Grothman,Says the U.S. National Archives put a ‘harmful content’ warning on our nation’s Founding documents.,Twitter,"September 22, 2021 "
891,half-true,Viral image,“The NAACP wants” the Confederate Memorial Carving “sandblasted off Stone Mountain.”,a Facebook post,"September 18, 2021 "
892,half-true,Instagram posts,"Says Joe Biden said: “If Haiti just quietly sunk into the Caribbean, or rose up 300 feet, it wouldn’t matter a whole lot in terms of our interests.”",an Instagram post,"September 23, 2021 "
893,half-true,Gary Palmer,"“As a result of the massive decline in natural gas prices, we’re saving 11,000 lives per year in the U.S.”",remarks during a House hearing,"September 13, 2021 "
894,half-true,Terry McAuliffe,“Time and again Glenn Youngkin has made it clear: He would ban abortion as governor.”,a tweet.,"September 17, 2021 "
895,half-true,Jennifer Granholm,"“West Virginia University just came out with a study that showed that there will be almost 20,000 jobs created in clean energy in West Virginia if (President Joe Biden’s) agenda is passed.”",an interview on CNN,"September 8, 2021 "
896,half-true,Gwen Moore,“President Biden has created more jobs in his first 7 months than any POTUS in history.”,Twitter,"September 3, 2021 "
897,half-true,Richard Ojeda,The United States spent “2 trillion dollars to train and equip the Afghan military over the past 20 years. They fell in a week.”,a tweet,"August 15, 2021 "
898,half-true,Richard Hudson,"Says U.S. left 33 Black Hawks to the Taliban, which has more than “85%” of all countries.",a Facebook post,"September 1, 2021 "
899,half-true,Viral image,Says a new Apple update will “scan U.S iPhones for images.”,an Instagram post,"September 15, 2021 "
900,barely-true,Tim Moore,“I’ve not gotten a single call from the White House.”,a press conference,"October 21, 2024 "
901,barely-true,Tammy Baldwin,Says opponent Eric Hovde “opposes efforts to negotiate with the big pharmaceutical companies to lower the price of prescription drugs.”,TV debate,"October 18, 2024 "
902,barely-true,Tammy Baldwin,Says opponent Eric Hovde “just proposed cutting Social Security by 28%.”,Campaign ad,"October 7, 2024 "
903,barely-true,Ruben Gallego,Arizona U.S. Senate candidate Kari Lake “was against” the child tax credit expansion “when the bill was on the floor.”,a debate,"October 9, 2024 "
904,barely-true,Dan Bongino,CBS exposed “the fact” that Kamala Harris’ crowd sizes are inflated because her campaign bused hundreds of attendees to her New Hampshire rally.,a Facebook post,"October 12, 2024 "
905,barely-true,Byron Donalds,“Wages adjusted for inflation were massively up under Donald Trump for Black men. … The (Black-white) wage gap in 2019 was actually shrinking under Donald Trump's administration.”,"an interview on CNN's ""State of the Union""","October 13, 2024 "
906,barely-true,WinSenate,“Dave McCormick is fully against abortion.”,a Meta ad,"September 3, 2024 "
907,barely-true,Senate Leadership Fund,U.S. Sen. Sherrod Brown “supported allowing puberty blockers and sex-change surgeries for minor children.”,a campaign ad,"September 3, 2024 "
908,barely-true,Kamala Harris,"""Teachers and nurses and firefighters are paying a higher tax rate than billionaires and the biggest corporations.""","an interview on ""60 Minutes""","October 7, 2024 "
909,barely-true,X posts,U.S. Transportation Secretary Pete Buttigieg banned private drones from flying over areas affected by Hurricane Helene.,a X post,"October 3, 2024 "
910,barely-true,House Majority PAC,"Laurie Buckhout is “trying to get to Congress to pass a national abortion ban, allowing politicians to ban abortions with no exceptions and prosecute women if they get an abortion, treating women right here like criminals.”",a television ad,"September 9, 2024 "
911,barely-true,Donald Trump Jr.,"“Less than three months ago, Kamala Harris and her administration blocked 300,000 unvetted Haitian migrants from being deported out of our country.""",a post,"September 9, 2024 "
912,barely-true,Elissa Slotkin,U.S. Senate candidate Mike Rogers “believes he should make that decision” about whether to end pregnancies.,a Meta ad,"September 30, 2024 "
913,barely-true,Kamala Harris,"“Even before the pandemic, (Donald Trump) lost manufacturing jobs, by most people’s estimates at least 200,000.”",an interview with MSNBC,"September 25, 2024 "
914,barely-true,JD Vance,"“Communicable diseases like HIV and TB (tuberculosis) have skyrocketed” after Haitian migrants came to Springfield, Ohio.",an interview,"September 10, 2024 "
915,barely-true,Ruben Gallego,"“MAGA Republicans like Kari Lake support Project 2025, which would raise the retirement age for 73% of Arizonans.”",a post on X,"August 17, 2024 "
916,barely-true,Sam Brown,"Nevada Sen. Jacky Rosen said the Biden administration did a ""tremendous job"" on the U.S. military’s Afghanistan withdrawal.",an X post,"August 15, 2024 "
917,barely-true,Senate Leadership Fund,"“Two years ago, Bob Casey promised us his vote will reduce inflation. ... Casey’s vote for reckless spending” made inflation worse.",a TV ad,"September 17, 2024 "
918,barely-true,Jacky Rosen,“Sam Brown publicly supported forcing massive cuts to Social Security and Medicare and was caught on tape saying he admires the plan to phase out Social Security and Medicare in five years.”,an ad,"August 13, 2024 "
919,barely-true,JD Vance,"In Springfield, Ohio, “murders are up by 81%.”",a CNN interview,"September 15, 2024 "
920,barely-true,Vote No on 4,"“Unlike other amendments, Amendment 4 has no definitions. … Without definitions these words can mean almost anything.”",a TV ad,"September 10, 2024 "
921,barely-true,Jon Tester,“Tim Sheehy told us his health care plan: ‘We need to return health care to pure privatization.’ That would eliminate Medicare.”,a Facebook ad,"September 6, 2024 "
922,barely-true,Republican Governors Association,"“On (Josh) Stein’s watch, rapes in North Carolina are up 53%.”",a campaign advertisement,"June 24, 2024 "
923,barely-true,Yes on 4,Florida’s six-week abortion law has “no real exceptions. Not for her health. Not even for rape.”,a TV ad,"September 10, 2024 "
924,barely-true,Jon Tester,"Tim Sheehy “would let politicians like him ban abortion, with no exceptions for rape or to save a woman’s life, and criminalize women.”",a Facebook ad,"September 8, 2024 "
925,barely-true,Kamala Harris,"“As of today, there is not one member of the United States military who is in active duty in a combat zone, in any war zone around the world, for the first time this century.”",a debate,"September 10, 2024 "
926,barely-true,One Nation,"“Sen. Jacky Rosen voted to increase taxes on families making less than $75,000 a year.”",an ad,"August 23, 2024 "
927,barely-true,Donald Trump,"Vice President Kamala Harris “cast the tiebreaking votes that caused the worst inflation in American history, costing a typical American family $28,000.”",a rally ,"September 7, 2024 "
928,barely-true,Josh Stein,“Mark Robinson skips Board of Education vote on teacher bonuses to hold campaign event.”,a press release,"September 5, 2024 "
929,barely-true,Donald Trump,“There’s been a 43% increase in violent crimes since I left office.”,a campaign event ,"August 23, 2024 "
930,barely-true,Instagram posts,California S.B. 1174 eliminates the requirement for voter ID at polling places.,an Instagram post,"August 27, 2024 "
931,barely-true,X posts,President Joe Biden “did a campaign ad at the graves in Arlington in 2020.”,X posts,"August 29, 2024 "
932,barely-true,Facebook posts,Kamala Harris’ “plan to tax unrecognized Capital Gains mean(s) if your house goes up in value you will have to pay that Tax Even if you don’t sell your House!”,a post,"August 25, 2024 "
933,barely-true,Ron DeSantis,"The proposal to put golf courses, hotels in Florida state parks “was something that was leaked. … a lot of that stuff was half-baked and was not ready for prime time.”",a press conference,"August 28, 2024 "
934,barely-true,Bob Casey,“Prices are up because these corporations are scheming to drive them up.”,a speech at the 2024 Democratic National Convention,"August 22, 2024 "
935,barely-true,Jesse James,"In Wisconsin, “a legislative committee cannot release funding.”",News conference,"May 13, 2024 "
936,barely-true,Tim Walz,Former President Donald Trump “cut overtime benefits for millions of workers.”,a speech ,"August 14, 2024 "
937,barely-true,Democratic Senatorial Campaign Committee,Republican Senate candidate Dave McCormick “wants to outlaw abortions.”,TV ad,"August 7, 2024 "
938,barely-true,Charlie Kirk,"“During Covid, Tim Walz rationed access to monoclonal antibody treatments based on skin color.”",a Threads post,"August 6, 2024 "
939,barely-true,Jesse Watters,Minnesota Gov. Tim Walz “forced schools to stock tampons in boys’ bathrooms.”,"a segment on ""Jesse Watters Primetime""","August 6, 2024 "
940,barely-true,JD Vance,"“When Tim Walz was asked by his country to go to Iraq, do you know what he did? He dropped out of the Army and allowed his unit to go without him.”",a speech,"August 7, 2024 "
941,barely-true,Donald Trump,"In negotiating releases of Americans held abroad, “(I) gave the opposing country NOTHING — and never any cash.”",a Truth Social post,"August 1, 2024 "
942,barely-true,Donald Trump,Kamala Harris “supports mandatory gun confiscation.”,a rally ,"August 3, 2024 "
943,barely-true,Kamala Harris,Donald Trump “intends to cut” Medicare.,a rally ,"July 30, 2024 "
944,barely-true,Kamala Harris,"""Donald Trump intends to cut Social Security.""",an event ,"July 30, 2024 "
945,barely-true,Donald Trump,Vice President Kamala Harris “endorsed free taxpayer-funded government health care for all illegal aliens.”,a speech at a rally ,"July 24, 2024 "
946,barely-true,Donald Trump,Kamala Harris “wants to defund the police.”,a rally ,"July 24, 2024 "
947,barely-true,Kamala Harris,Project 2025 calls for restricting “access to IVF and contraception.”,a campaign event,"July 18, 2024 "
948,barely-true,Republican National Committee,"President Joe Biden appointed ""Kamala Harris to be his border czar to deal with illegal immigration … Harris was put in charge of stopping illegal immigration.""",a video,"July 22, 2024 "
949,barely-true,Michael McCaul,"“(Homeland Security Secretary Alejandro) Mayorkas said, ‘Hey you don’t have to detain aggravated felons,’ those are rapists, child predators, you know, murderers.”",an interview,"June 30, 2024 "
950,barely-true,Ritchie Torres,“The loss of SALT deductibility cost our state $15 billion in revenue. So New Yorkers are paying more in taxes and receiving fewer services because of Donald Trump.”,a television interview,"May 23, 2024 "
951,barely-true,Joe Biden,Donald Trump’s plan is “cutting Social Security for you.”,a post on TikTok,"April 4, 2024 "
952,barely-true,Instagram posts,Ronald Reagan’s Federal Communications Commission abolished the Fairness Doctrine and gave rise to Fox News.,Instagram post,"May 26, 2024 "
953,barely-true,Doug Burgum,"Donald Trump “shut down” Nord Stream 2 pipeline, Joe Biden approved it, then Biden shut down U.S. liquified natural gas export capacity.",a speech at the North Carolina Republican Party convention,"May 25, 2024 "
954,barely-true,Jason Pizzo,“Trump can’t vote for himself in the November election.”,a post on X,"May 30, 2024 "
955,barely-true,X posts,North Carolina mask bill includes “specific carve outs for entities like the KKK to continue wearing hoods in public.”,a social media post,"May 14, 2024 "
956,barely-true,Joe Biden,Former President Donald Trump told Time magazine that “states should monitor women’s pregnancies and prosecute those who violate abortion bans.”,a campaign event,"May 1, 2024 "
957,barely-true,Greg Steube,"Immigrants in the country illegally cost “Florida taxpayers $566 million for 54,000 hospital visits.”",an X post,"April 14, 2024 "
958,barely-true,Kamala Harris,“As many as 75% of school shootings resulted from a gun that was not secured.”,a moderated conversation,"April 15, 2024 "
959,barely-true,Stephen King,"“The 1864 Arizona law forbidding abortions, upheld by the State Supreme Court, also sets the age of consent for females at 10 years.”",an X post,"April 15, 2024 "
960,barely-true,Joe Biden,"Speaking of semiconductor industry jobs, ""Know what the average salary is? $110,000. You don't need a college degree.""",a speech,"April 8, 2024 "
961,barely-true,Instagram posts,"ProduceMaxx sprayed on organic produce at grocery stores contains pesticides, herbicides, fungicides, insecticides and antibiotics.",an Instagram post,"March 31, 2024 "
962,barely-true,Instagram posts,"Una ley en Estados Unidos dice “si una casa no está habitada, podemos expropiarla”.",una publicación en Instagram,"March 16, 2024 "
963,barely-true,Instagram posts,"A U.S. law says that “if a house is not inhabited, we can expropriate it.”",an Instagram post,"March 16, 2024 "
964,barely-true,Nancy Mace,"“Since Joe Biden took office, crime has skyrocketed across our country.”",a post on X,"March 30, 2024 "
965,barely-true,Kathy Hochul,"In New York, there are no barriers to law enforcement to work with the federal government on immigration laws, and there are 100 crimes where migrants can be handed over.",an interview,"February 22, 2024 "
966,barely-true,Joe Biden,Says Donald Trump “told Americans all they had to do was inject bleach in themselves. Just take a shot of UV light.”,a speech,"March 26, 2024 "
967,barely-true,JD Vance,Says “100% of net job creation under the Biden administration has gone to the foreign-born.”,an interview with Fox News,"March 14, 2024 "
968,barely-true,Ronna McDaniel,"Montana Democrats are ""suing to say, ‘You should be allowed to be registered to vote in two states.'”","an interview on NBC's ""Meet the Press""","March 24, 2024 "
969,barely-true,Donald Trump,"The $454 million bond is “unprecedented, and practically impossible for ANY Company.”",a Truth Social post,"March 18, 2024 "
970,barely-true,Facebook posts,Valid IDs are not required for voting.,a Facebook post,"March 9, 2024 "
971,barely-true,Brian Schimming,"“On Joe Biden’s watch, Wisconsin has lost 6,000 manufacturing jobs and 455 dairy farms in the last year.”",Statement,"March 13, 2024 "
972,barely-true,Ron DeSantis,Citizens Property Insurance “is not solvent.”,an interview on CNBC,"February 27, 2024 "
973,barely-true,MAGA Inc,"President Joe Biden said “do whatever the hell they want,” paused, and then said, “I guess I should clear my mind here a little bit.”",an ad,"March 7, 2024 "
974,barely-true,Pete Buttigieg,"The stock market “hit an all-time high under President Biden and not under President Trump.""","an interview on ABC's ""This Week""","March 10, 2024 "
975,barely-true,Eric Hovde,Says U.S. Sen. Tammy Baldwin “was one of the staunchest supporters of the Iran deal which sent billions of dollars and plane loads of cash to Iran.”,Campaign website,"March 4, 2024 "
976,barely-true,Voto Latino .,"""There are less than two weeks until the deadline to register to vote in Wisconsin.""",Social media ads,"February 29, 2024 "
977,barely-true,Tommy Tuberville,The Olympic boxing committee “decided this year that men can box against women in the Olympics.”,at the 2024 Conservative Political Action Conference,"February 22, 2024 "
978,barely-true,Sarah Godlewski,“One of my responsibilities as Secretary of State is to countersign acts passed by the legislature & signed into law by Gov. Evers.”,"X, formerly Twitter","February 21, 2024 "
979,barely-true,Joe Biden,The 2022 CHIPS and Science Act “attracted $640 billion in private companies’ investments.”,a speech to county officials,"February 12, 2024 "
980,barely-true,Donald Trump,"“The biggest threat to your unions is millions of people coming across the border, because you're not gonna have your jobs anymore.”",a rally,"February 17, 2024 "
981,barely-true,Heartland Signal,"Says Republican U.S. Senate candidate Eric Hovde claims he ""understands the tragedy of children being trafficked through Central America because he owns three homes there.""","X, formerly Twitter","February 20, 2024 "
982,barely-true,Donald Trump,"Food “costs 40%, 50%, 60% more than it did just a few years ago.”",a speech to the National Rifle Association,"February 9, 2024 "
983,barely-true,Facebook posts,"""NYC to give ILLEGALS $53 Million in Prepaid Credit Cards.""",A Facebook post,"February 2, 2024 "
984,barely-true,Robin Vos,“The law in Wisconsin (on abortion time limit) is 20 weeks. That is way outside the international bounds.”,TV interview,"January 7, 2024 "
985,barely-true,Donald Trump,"In Oklahoma, ""I won 77 out of 77 counties. Ronald Reagan is second with 56.""",an appearance on Dan Bongino's show,"February 5, 2024 "
986,barely-true,Nikki Haley,"Donald Trump “proposed when he was president” that “he wanted to raise the gas tax up to 25 cents.""",a rally ,"January 17, 2024 "
987,barely-true,Opportunity Wisconsin,"“Bryan Steil is part of a group that wants to cut Social Security and Medicare, that would be devastating.”",TV ad,"January 10, 2024 "
988,barely-true,Dave Murphy,"""Bucks star Giannis Antetokounmpo signed a three-year contract for $186 million. He and his family, being African American, could receive benefits under affirmative action.”",Wiscons,"November 7, 2023 "
989,barely-true,Instagram posts,"In Palm Springs, California, “transgender residents to receive a monthly payment of $900.”",an Instagram post,"January 2, 2024 "
990,barely-true,Nikki Haley,"“We’ve had 8 million” immigrants come to the U.S. illegally under Biden “and they only sent back 142,000.”",an Iowa PBS interview,"January 5, 2024 "
991,barely-true,Ron DeSantis,“Biden’s let in 8 million people just in four years.”,a debate,"January 10, 2024 "
992,barely-true,TikTok posts,"“Almost a million people, mostly Democrats, have been kicked off the voter roll here in Florida” because of efforts to place a proposed amendment on abortion access on the state’s 2024 ballot.",a TikTok,"December 15, 2023 "
993,barely-true,Nikki Haley,"“Right now, over 70% of federal employees are still working from home three years after COVID.""",a town hall ,"January 2, 2024 "
994,barely-true,Nick LaLota,Under New York’s Clean Slate Act “violent crimes … will now be automatically sealed after a set time - like they never happened.”,a social media post,"November 18, 2023 "
995,barely-true,Donald Trump,"“Gasoline prices are now $5, $6, $7 and even $8 a gallon.”",a rally ,"December 13, 2023 "
996,barely-true,Fight Right Inc.,Nikki Haley “raised taxes.”,a TV ad,"December 6, 2023 "
997,barely-true,Facebook posts,"""Los estadounidenses que ganan menos de $50,000 al año pueden solicitar un seguro médico gratuito"".",una publicación en Facebook,"November 10, 2023 "
998,barely-true,Ron DeSantis,"“Your minor child can go to California without your knowledge or without your consent, and get hormone therapy, puberty blockers and a sex change operation.”","Fox News' “The Great Red vs. Blue State Debate.""","November 30, 2023 "
999,barely-true,Gavin Newsom,"""When (Ron DeSantis) was in Congress, he supported amnesty.""",a debate,"November 30, 2023 "
1000,barely-true,Joe Biden,Republicans’ “plan would cut Social Security benefits. … Average benefit cut would be 13%.”,remarks at the White House,"November 27, 2023 "
1001,barely-true,National Republican Senatorial Committee,Says U.S. Sen. Tammy Baldwin “voted to send hundreds of millions to Iran” to bankroll “radicals like Hezbollah and Hamas.”,an ad,"November 8, 2023 "
1002,barely-true,Pink,These 13 books “have been banned from schools in Florida.”,an X post,"November 13, 2023 "
1003,barely-true,Dean Phillips,"""Half of American high school students are not familiar with the Holocaust.""",a speech at Dartmouth College,"November 13, 2023 "
1004,barely-true,Francesca Hong,"U.S. House Speaker Mike Johnson ""opposes Social Security benefits.""","X, formerly Twitter","October 25, 2023 "
1005,barely-true,DeSantis Watch,Ron DeSantis “wants to cut Social Security and Medicare.”,a Spanish-language radio ad,"November 8, 2023 "
1006,barely-true,Chris Christie,"“In 1992, this country made a promise to Ukraine. We said if you return nuclear missiles that were part of the old Soviet Union to Russia, and they invade you, we will protect you.”",the third Republican debate ,"November 8, 2023 "
1007,barely-true,Kamala Harris,“Because of our economic policies we now are reducing inflation.”,an interview with CBS News,"October 28, 2023 "
1008,barely-true,Vivek Ramaswamy,“Gen Z is divided 50-50 on whether they support Hamas or Israel.”,an address to the Republican Jewish Coalition,"October 28, 2023 "
1009,barely-true,Scott Walker,"“Wisconsin has historically … and I think largely continues to be, a blue state.”",Interview,"May 30, 2023 "
1010,barely-true,Chris Larson,"The Milwaukee Brewers “are complaining about a lack of transit going to the ballpark at the same time as they are testifying in favor (of) taking $135 million away from Milwaukee County, which funds transit.""","X, formerly Twitter","October 5, 2023 "
1011,barely-true,One Nation,"Sen. Joe Manchin’s “support for the (Inflation Reduction Act) could cost West Virginia 100,000 fossil fuel jobs.”",a petition,"September 4, 2023 "
1012,barely-true,Alex Mooney,"Jim Justice ""opposes the Right to Work”",a campaign website,"August 21, 2023 "
1013,barely-true,Americans for Prosperity,“The Inflation Reduction Act led to higher taxes.”,a Facebook ad,"July 17, 2023 "
1014,barely-true,Barbara Dittrich,"There are ""about a half a dozen"" transgender athletes competing in Wisconsin K-12 schools.",Public hearing,"October 4, 2023 "
1015,barely-true,Instagram posts,Biden is “funding every angle” of the Israel-Hamas war.,an Instagram post,"October 11, 2023 "
1016,barely-true,Rebecca Cooke,"""Derrick Van Orden is one of the only members of Congress who participated in the deadly January 6th insurrection. He now serves in the building he tried to burn down.""","X, formerly Twitter","September 1, 2023 "
1017,barely-true,Tim Scott,"The Biden administration “wanted Israel to stand down after the attack"" by Hamas.",a post on X,"October 7, 2023 "
1018,barely-true,West Virginia University Faculty Senate,E. Gordon Gee’s university projects have increased “WVU’s debt load by 55%.”,a no-confidence resolution,"September 6, 2023 "
1019,barely-true,E. Gordon Gee,“Fewer than 2% of students are impacted whatsoever by the decisions we're making” to cut the budget.,an interview with The Daily Athenaeum,"August 25, 2023 "
1020,barely-true,X posts,"1,609 scientists signed a declaration saying “There is no climate emergency.”",tweets,"September 15, 2023 "
1021,barely-true,Ron DeSantis,Six million or 7 million people have “come illegally under Biden.”,a speech,"September 29, 2023 "
1022,barely-true,Facebook posts,"“Si ganas menos de $50,000 al año” puedes calificar para un crédito de salud y usarlo para “lo que sea”.",una publicación en Facebook,"August 23, 2023 "
1023,barely-true,Unleash Prosperity Now,“Gov. Roy Cooper is blocking a pioneering school choice bill that would give thousands of low-income parents the funds to allow their kids to get a high-quality education.”,a political ad,"August 13, 2023 "
1024,barely-true,Joe Biden,Video shows Donald Trump believes “there has to be some form of punishment” for women who have abortions.,an ad,"August 25, 2023 "
1025,barely-true,Instagram posts,"“Norway, Finland, Sweden, Holland, and the UK have now banned gender transition surgery for minors.”",a social media post,"August 23, 2023 "
1026,barely-true,Debbie Mucarsel-Powell,Sen. Rick Scott “wants to … end Social Security and Medicare coverage.”,campaign website,"August 22, 2023 "
1027,barely-true,Mike Pence,"""I actually pushed the Deficit Reduction Act. That was the last time we actually reduced the national debt in the United States, when I was the leader of House conservatives.""",a Republican presidential debate ,"August 23, 2023 "
1028,barely-true,Mike Pence,“After China sent a balloon over strategic sites in the United States … President Biden literally sent the secretary of state hat in hand to go kowtow and ask for a meeting.”,comments at a conference,"August 18, 2023 "
1029,barely-true,Joe Biden,“A higher percentage of American workers are working today than ever before.”,a speech ,"August 15, 2023 "
1030,barely-true,Instagram posts,"While nearly naked, a member of Mexico’s congress said, “You are ashamed to see me naked, but you are not ashamed to see your people in the streets naked.”",an Instagram post,"August 12, 2023 "
1031,barely-true,Ron DeSantis,“We’ve eliminated critical race theory in our K through 12 schools.”,a town hall,"August 4, 2023 "
1032,barely-true,Ron DeSantis,"""Illinois is now letting illegal aliens become police officers.""",a post,"July 30, 2023 "
1033,barely-true,Citizens Against Government Waste,A bill sponsored by U.S. Sen. Bernie Sanders would “increase government control” of pharmacy benefit managers and is a “radical health care takeover.”,a political ad,"August 7, 2023 "
1034,barely-true,Charlie Kirk,Douglass Mackey was convicted “because he made a meme in the 2016 election.”,a video,"August 2, 2023 "
1035,barely-true,Facebook posts,“Code red emergency - poison released in the air” affecting 127 million people.,a post,"August 3, 2023 "
1036,barely-true,Kamala Harris,"""Some states have “tried to ban teaching Latino and Hispanic history.”",,"July 21, 2023 "
1037,barely-true,Chris  Coons,“Consumer confidence is the highest it’s been in years.”,"an interview on NBC's ""Meet the Press""","July 30, 2023 "
